Summary	Issue Type	Priority	Epic Name
Là Người dân, tôi muốn Đánh giá chất lượng xử lý	Story	Low	Public Interaction
Là Người dân, tôi muốn Cho điểm mức độ hài lòng	Story	Low	Public Interaction
Là Hệ thống, tôi muốn Lưu đánh giá	Story	Low	Public Interaction
Là Hệ thống, tôi muốn Gửi thông báo khi phản ánh được xử lý	Story	Medium	Public Interaction
Là Người dân, tôi muốn Nhận thông báo cập nhật	Story	Medium	Public Interaction
Là Hệ thống, tôi muốn Gửi thông báo qua hệ thống	Story	Medium	Public Interaction
Là Người dân, tôi muốn Chỉnh sửa phản ánh khi chưa xử lý	Story	Medium	Public Interaction
Là Hệ thống, tôi muốn Cập nhật thông tin phản ánh	Story	Medium	Public Interaction
Là Người dân, tôi muốn Xoá phản ánh	Story	Low	Public Interaction
Là Hệ thống, tôi muốn Xoá dữ liệu phản ánh	Story	Low	Public Interaction
Là Hệ thống, tôi muốn Kiểm tra dữ liệu nhập không rỗng	Story	High	Public Interaction
Là Hệ thống, tôi muốn Kiểm tra độ dài mô tả	Story	Medium	Public Interaction
Là Hệ thống, tôi muốn Cảnh báo lỗi khi nhập sai	Story	High	Public Interaction
Notification & Alert	Epic		Notification & Alert
Là Hệ thống, tôi muốn Tạo thông báo để gửi cho người dùng	Story	High	Notification & Alert
Là Hệ thống, tôi muốn Lưu nội dung thông báo	Story	High	Notification & Alert
Là Hệ thống, tôi muốn Gắn thời gian cho thông báo	Story	High	Notification & Alert
Là Người dùng, tôi muốn Xem danh sách thông báo	Story	High	Notification & Alert
Là Hệ thống, tôi muốn Hiển thị danh sách thông báo	Story	High	Notification & Alert
Là Hệ thống, tôi muốn Gửi thông báo khi có sự cố mới	Story	High	Notification & Alert
Là Nhân viên, tôi muốn Nhận thông báo sự cố	Story	High	Notification & Alert
Là Hệ thống, tôi muốn Hiển thị nội dung sự cố trong thông báo	Story	High	Notification & Alert
Là Người dùng, tôi muốn Click vào thông báo để xem chi tiết	Story	High	Notification & Alert
Là Hệ thống, tôi muốn Gửi thông báo khi có phân công	Story	High	Notification & Alert
Là Kỹ thuật viên, tôi muốn Nhận thông báo công việc	Story	High	Notification & Alert
Là Hệ thống, tôi muốn Hiển thị thông thông tin công việc trong thông báo	Story	High	Notification & Alert
Là Hệ thống, tôi muốn Gửi thông báo khi trạng thái thay đổi	Story	High	Notification & Alert
Là Người quản lý, tôi muốn Nhận thông báo tiến độ	Story	High	Notification & Alert
Là Hệ thống, tôi muốn Cập nhật thông báo theo trạng thái	Story	Medium	Notification & Alert
Là Hệ thống, tôi muốn Gửi thông báo khi công việc hoàn thành	Story	High	Notification & Alert
Là Người dùng, tôi muốn Biết khi sự cố đã xử lý xong	Story	High	Notification & Alert
Là Hệ thống, tôi muốn Hiển thị thông tin hoàn thành	Story	Medium	Notification & Alert
Là Hệ thống, tôi muốn Tạo cảnh báo khi phát hiện bất thường	Story	High	Notification & Alert
Là Hệ thống, tôi muốn Xác định ngưỡng cảnh báo	Story	Medium	Notification & Alert
Là Người dùng, tôi muốn Nhận cảnh báo	Story	High	Notification & Alert
Là Hệ thống, tôi muốn Hiển thị cảnh báo nổi bật	Story	Medium	Notification & Alert
Là Hệ thống, tôi muốn Gửi thông báo lịch bảo trì	Story	Medium	Notification & Alert
Là Nhân viên, tôi muốn Nhận nhắc lịch bảo trì	Story	Medium	Notification & Alert
Là Hệ thống, tôi muốn Gửi thông báo trước thời gian bảo trì	Story	Medium	Notification & Alert
Là Hệ thống, tôi muốn Đánh dấu thông báo đã đọc	Story	High	Notification & Alert
Là Người dùng, tôi muốn Đánh dấu đã đọc	Story	Medium	Notification & Alert
Là Hệ thống, tôi muốn Lưu trạng thái đã đọc/chưa đọc	Story	High	Notification & Alert
Là Người dùng, tôi muốn Xem thông báo chưa đọc	Story	High	Notification & Alert
Là Người dùng, tôi muốn Xoá thông báo	Story	Low	Notification & Alert
Là Hệ thống, tôi muốn Xoá dữ liệu thông báo	Story	Low	Notification & Alert
Là Người dùng, tôi muốn Bật/tắt thông báo	Story	Medium	Notification & Alert
Là Người dùng, tôi muốn Chọn loại thông báo nhận	Story	Medium	Notification & Alert
Là Hệ thống, tôi muốn Lưu cấu hình thông báo	Story	Medium	Notification & Alert
Là Hệ thống, tôi muốn Gửi thông báo theo vai trò	Story	High	Notification & Alert
Là Hệ thống, tôi muốn Gửi thông báo cho nhiều người	Story	High	Notification & Alert
Là Hệ thống, tôi muốn Phân loại người nhận	Story	Medium	Notification & Alert
Là Hệ thống, tôi muốn Hiển thị thông báo dạng popup	Story	Medium	Notification & Alert
Là Hệ thống, tôi muốn Hiển thị badge số lượng thông báo	Story	Medium	Notification & Alert
Là Người dùng, tôi muốn Thấy số thông báo mới	Story	Medium	Notification & Alert
Là Hệ thống, tôi muốn Lưu lịch sử thông báo	Story	Medium	Notification & Alert
Là Người dùng, tôi muốn Xem lại thông báo cũ	Story	Medium	Notification & Alert
Là Hệ thống, tôi muốn Hiển thị lịch sử thông báo	Story	Medium	Notification & Alert
Là Hệ thống, tôi muốn Kiểm tra nội dung thông báo hợp lệ	Story	Medium	Notification & Alert
Là Hệ thống, tôi muốn Kiểm tra người nhận tồn tại	Story	Medium	Notification & Alert
Là Hệ thống, tôi muốn Xử lý lỗi khi gửi thông báo	Story	Medium	Notification & Alert
Reporting & Analytics	Epic		Reporting & Analytics
Là Quản trị viên, tôi muốn Xem báo cáo tổng quan hệ thống	Story	High	Reporting & Analytics
Là Hệ thống, tôi muốn Hiển thị dashboard tổng quan	Story	High	Reporting & Analytics
Là Hệ thống, tôi muốn Hiển thị số lượng thiết bị	Story	High	Reporting & Analytics
Là Hệ thống, tôi muốn Hiển thị số lượng sự cố	Story	High	Reporting & Analytics
Là Hệ thống, tôi muốn Hiển thị số lượng đang xử lý	Story	High	Reporting & Analytics
Là Quản trị viên, tôi muốn Xem báo cáo thiết bị	Story	High	Reporting & Analytics
Là Hệ thống, tôi muốn Thống kê số lượng thiết bị theo loại	Story	High	Reporting & Analytics
Là Hệ thống, tôi muốn Thống kê thiết bị đang hoạt động	Story	High	Reporting & Analytics
Là Hệ thống, tôi muốn Thống kê thiết bị bị lỗi	Story	High	Reporting & Analytics
Là Người dùng, tôi muốn Xem chi tiết từng loại thiết bị	Story	Medium	Reporting & Analytics
Là Quản trị viên, tôi muốn Xem báo cáo sự cố	Story	High	Reporting & Analytics
Là Hệ thống, tôi muốn Thống kê số lượng sự cố	Story	High	Reporting & Analytics
Là Hệ thống, tôi muốn Thống kê theo trạng thái	Story	High	Reporting & Analytics
Là Hệ thống, tôi muốn Thống kê theo mức độ nghiêm trọng	Story	High	Reporting & Analytics
Là Người dùng, tôi muốn Xem danh sách sự cố trong báo cáo	Story	Medium	Reporting & Analytics
Là Người dùng, tôi muốn Xem báo cáo tiêu thụ điện/nước	Story	High	Reporting & Analytics
Là Hệ thống, tôi muốn Tính tổng tiêu thụ	Story	High	Reporting & Analytics
Là Hệ thống, tôi muốn Thống kê theo thời gian	Story	High	Reporting & Analytics
Là Người dùng, tôi muốn So sánh tiêu thụ giữa các kỳ	Story	Medium	Reporting & Analytics
Là Người dùng, tôi muốn Lọc báo cáo theo thời gian	Story	High	Reporting & Analytics
Là Người dùng, tôi muốn Lọc theo loại thiết bị	Story	High	Reporting & Analytics
Là Người dùng, tôi muốn Lọc theo khu vực	Story	Medium	Reporting & Analytics
Là Hệ thống, tôi muốn Hiển thị báo cáo theo bộ lọc	Story	High	Reporting & Analytics
Là Người dùng, tôi muốn Reset bộ lọc	Story	Medium	Reporting & Analytics
Là Người dùng, tôi muốn Xem biểu đồ thống kê	Story	High	Reporting & Analytics
Là Hệ thống, tôi muốn Hiển thị biểu đồ cột	Story	Medium	Reporting & Analytics
Là Hệ thống, tôi muốn Hiển thị biểu đồ đường	Story	Medium	Reporting & Analytics
Là Hệ thống, tôi muốn Hiển thị biểu đồ tròn	Story	Medium	Reporting & Analytics
Là Người dùng, tôi muốn Chọn loại biểu đồ	Story	Medium	Reporting & Analytics
Là Người dùng, tôi muốn Xuất báo cáo ra file	Story	High	Reporting & Analytics
Là Hệ thống, tôi muốn Xuất file Excel	Story	High	Reporting & Analytics
Là Hệ thống, tôi muốn Xuất file PDF	Story	Medium	Reporting & Analytics
Là Người dùng, tôi muốn Tải file về máy	Story	Medium	Reporting & Analytics
Là Người dùng, tôi muốn Xem báo cáo theo ngày	Story	Medium	Reporting & Analytics
Là Người dùng, tôi muốn Xem báo cáo theo tháng	Story	High	Reporting & Analytics
Là Người dùng, tôi muốn Xem báo cáo theo năm	Story	Medium	Reporting & Analytics
Là Hệ thống, tôi muốn Tổng hợp dữ liệu theo thời gian	Story	High	Reporting & Analytics
Là Quản trị viên, tôi muốn Xem hiệu suất xử lý sự cố	Story	Medium	Reporting & Analytics
Là Hệ thống, tôi muốn Tính thời gian xử lý trung bình	Story	Medium	Reporting & Analytics
Là Hệ thống, tôi muốn Thống kê số lượng công việc hoàn thành	Story	Medium	Reporting & Analytics
Là Quản trị viên, tôi muốn So sánh hiệu suất giữa nhân viên	Story	Medium	Reporting & Analytics
Là Hệ thống, tôi muốn Hiển thị dữ liệu thống kê trên bản đồ	Story	Medium	Reporting & Analytics
Là Người dùng, tôi muốn Xem khu vực có nhiều sự cố	Story	Medium	Reporting & Analytics
Là Hệ thống, tôi muốn Tô màu khu vực theo dữ liệu	Story	Medium	Reporting & Analytics
Là Hệ thống, tôi muốn Lưu lịch sử báo cáo	Story	Medium	Reporting & Analytics
Là Người dùng, tôi muốn Xem lại báo cáo cũ	Story	Medium	Reporting & Analytics
Là Hệ thống, tôi muốn Xoá báo cáo cũ	Story	Low	Reporting & Analytics
Là Hệ thống, tôi muốn Kiểm tra dữ liệu trước khi thống kê	Story	High	Reporting & Analytics
Là Hệ thống, tôi muốn Xử lý dữ liệu thiếu	Story	Medium	Reporting & Analytics
Là Hệ thống, tôi muốn Hiển thị lỗi khi dữ liệu sai	Story	Medium	Reporting & Analytics
Là Hệ thống, tôi muốn Tự động tạo báo cáo định kỳ	Story	Medium	Reporting & Analytics
Là Hệ thống, tôi muốn Gửi báo cáo cho quản trị viên	Story	Medium	Reporting & Analytics
Là Người dùng, tôi muốn Nhận báo cáo tự động	Story	Medium	Reporting & Analytics
Là Người dùng, tôi muốn So sánh dữ liệu giữa các khu vực	Story	Medium	Reporting & Analytics
Là Người dùng, tôi muốn So sánh giữa các thời điểm	Story	Medium	Reporting & Analytics
Là Hệ thống, tôi muốn Hiển thị kết quả so sánh	Story	Medium	Reporting & Analytics
System & Technical	Epic		System & Technical
Là Hệ thống, tôi muốn Kết nối database để lưu dữ liệu	Story	High	System & Technical
Là Hệ thống, tôi muốn Kiểm tra kết nối database	Story	High	System & Technical
Là Hệ thống, tôi muốn Xử lý lỗi kết nối database	Story	High	System & Technical
Là Hệ thống, tôi muốn Đóng kết nối sau khi sử dụng	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Tối ưu truy vấn dữ liệu	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Cung cấp API để frontend gọi dữ liệu	Story	High	System & Technical
Là Hệ thống, tôi muốn Tạo API lấy danh sách thiết bị	Story	High	System & Technical
Là Hệ thống, tôi muốn Tạo API thêm thiết bị	Story	High	System & Technical
Là Hệ thống, tôi muốn Tạo API cập nhật thiết bị	Story	High	System & Technical
Là Hệ thống, tôi muốn Tạo API xoá thiết bị	Story	High	System & Technical
Là Hệ thống, tôi muốn Trả dữ liệu dạng JSON	Story	High	System & Technical
Là Hệ thống, tôi muốn Xử lý request từ client	Story	High	System & Technical
Là Hệ thống, tôi muốn Mã hoá mật khẩu	Story	High	System & Technical
Là Hệ thống, tôi muốn Kiểm tra token xác thực	Story	High	System & Technical
Là Hệ thống, tôi muốn Ngăn chặn truy cập trái phép	Story	High	System & Technical
Là Hệ thống, tôi muốn Giới hạn request (rate limit)	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Bảo vệ API khỏi tấn công	Story	High	System & Technical
Là Hệ thống, tôi muốn Kiểm tra quyền truy cập	Story	High	System & Technical
Là Hệ thống, tôi muốn Ghi log hoạt động	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Ghi log lỗi	Story	High	System & Technical
Là Hệ thống, tôi muốn Lưu log vào file	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Xem log khi cần	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Xử lý lỗi khi API thất bại	Story	High	System & Technical
Là Hệ thống, tôi muốn Hiển thị thông báo lỗi	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Tránh crash hệ thống	Story	High	System & Technical
Là Hệ thống, tôi muốn Ghi lại lỗi	Story	High	System & Technical
Là Hệ thống, tôi muốn Tối ưu tốc độ load dữ liệu	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Cache dữ liệu	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Giảm số lần gọi API	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Tối ưu truy vấn database	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Đồng bộ dữ liệu giữa backend và frontend	Story	High	System & Technical
Là Hệ thống, tôi muốn Cập nhật dữ liệu khi thay đổi	Story	High	System & Technical
Là Hệ thống, tôi muốn Tránh xung đột dữ liệu	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Tạo session khi đăng nhập	Story	High	System & Technical
Là Hệ thống, tôi muốn Kiểm tra session hợp lệ	Story	High	System & Technical
Là Hệ thống, tôi muốn Xoá session khi logout	Story	High	System & Technical
Là Hệ thống, tôi muốn Hết hạn session sau thời gian	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Đọc file cấu hình	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Lưu cấu hình hệ thống	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Thay đổi cấu hình dễ dàng	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Backup dữ liệu	Story	High	System & Technical
Là Hệ thống, tôi muốn Restore dữ liệu	Story	High	System & Technical
Là Hệ thống, tôi muốn Lên lịch backup	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Kiểm tra trạng thái hệ thống	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Kiểm tra API hoạt động	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Cảnh báo khi lỗi hệ thống	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Deploy ứng dụng	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Cấu hình server	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Chạy ứng dụng trên server	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Viết unit test	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Kiểm tra API	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Kiểm tra lỗi hệ thống	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Tối ưu load trang	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Giảm thời gian render	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Tối ưu hiển thị bản đồ	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Lưu file upload	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Kiểm tra dung lượng file	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Xoá file không cần thiết	Story	Low	System & Technical
Là Hệ thống, tôi muốn Kiểm tra version API	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Hỗ trợ nhiều client	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Ghi log truy cập API	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Kiểm tra timeout request	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Retry khi request thất bại	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Giới hạn dung lượng response	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Kiểm tra dữ liệu đầu vào API	Story	High	System & Technical
Là Hệ thống, tôi muốn Validate JSON request	Story	High	System & Technical
Là Hệ thống, tôi muốn Chuẩn hoá response	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Xử lý exception global	Story	High	System & Technical
Là Hệ thống, tôi muốn Theo dõi hiệu năng API	Story	Medium	System & Technical
Là Hệ thống, tôi muốn Cảnh báo khi server quá tải	Story	High	System & Technical
Là Hệ thống, tôi muốn Restart service khi lỗi	Story	High	System & Technical
Là Hệ thống, tôi muốn Kiểm tra bảo mật hệ thống	Story	High	System & Technical
Là Hệ thống, tôi muốn Log hành vi bất thường	Story	High	System & Technical
Là Hệ thống, tôi muốn Theo dõi session bất thường	Story	High	System & Technical
Là Hệ thống, tôi muốn Bảo vệ dữ liệu người dùng	Story	High	System & Technical
Là Hệ thống, tôi muốn Đảm bảo tính toàn vẹn dữ liệu	Story	High	System & Technical
Là Hệ thống, tôi muốn Mã hoá dữ liệu nhạy cảm trong database để bảo mật thông tin	Story	High	System & Technical
Là Hệ thống, tôi muốn Kiểm tra tính toàn vẹn dữ liệu khi ghi xuống database để tránh sai lệch	Story	High	System & Technical
Là Hệ thống, tôi muốn Tự động ghi log khi có thay đổi dữ liệu quan trọng để phục vụ kiểm tra sau này	Story	Medium	System & Technical
